Grapheme	FREQUENCY	IPA	UNICODE
ɩs	30	i s	U+0269 U+0073
ã	30	ã	U+00e3
ɛ̀	30	ɛ̀/ɛ	U+025b U+0300
θ	29	θ	U+03b8
ñ	28	ñ	U+00f1
ss	27	sː	U+0073 U+0073
ŋ́	26	ŋ́/ŋ	U+014b U+0301
î̵	25	î̵/iː	U+00ee U+0335
rw	25	rʷ	U+0072 U+0077
ņ̀	25	ņ̀/n	U+0146 U+0300
ɠw	24	ɠʷ	U+0260 U+0077
ǖ	23	yː	U+01d6
ĩ	23	ĩ	U+0129
ṛ	23	r	U+1e5b
tw	22	tʷ	U+0074 U+0077
ü	22	ü/y	U+00fc
'o	22	'o/o	U+0027 U+006f
ũ̂	21	ũ̂/ũ	U+0169 U+0302
ès	20	ès/e s	U+00e8 U+0073
ũ̀	20	ũ̀/ũ	U+0169 U+0300
dw	20	dʷ	U+0064 U+0077
gʷ	19	gʷ	U+0067 U+02b7
ѵ	19	ⱱ	U+0475
'y	19	'y/y	U+0027 U+0079
èw	18	èw/e w	U+00e8 U+0077
uu	18	uu/uː	U+0075 U+0075
ã̀	17	ã̀	U+00e3 U+0300
Ì̵	16	ɪː	U+00cc U+0335
ε̂	16	ε̂/ɛ	U+03b5 U+0302
sw	16	s w	U+0073 U+0077
ɔ̂	16	ɔ̂/ɔ	U+0254 U+0302
r̂	15	r̂/r	U+0072 U+0302
ìh	15	ìh/i h	U+00ec U+0068
ṹ	15	ũ	U+1e79
ə̌	15	ə̌/ə	U+0259 U+030c
pp	15	pː	U+0070 U+0070
p̵	15	pː	U+0070 U+0335
ɩ̀s	15	ɩ̀s/i s	U+0269 U+0300 U+0073
ṑ	15	oː	U+1e51
gg	14	gː	U+0067 U+0067
r̃r̃	14	r̃ː	U+0072 U+0303 U+0072 U+0303
úː	14	uː	U+00fa U+02d0
ĩ́	14	ĩ́/ĩ	U+0129 U+0301
ì̵w	14	ì̵w/i w	U+00ec U+0335 U+0077
ɔ́	14	ɔ́/ɔ	U+0254 U+0301
xs	14	x s	U+0078 U+0073
dd	14	dː	U+0064 U+0064
ws	14	w s	U+0077 U+0073
ǒ	13	ǒ/o	U+01d2
òh	13	òh/o h	U+00f2 U+0068
p̵s	13	p̵s/p s	U+0070 U+0335 U+0073
rh	12	r h	U+0072 U+0068
ỹ	12	ỹ	U+1ef9
òs	12	òs/o s	U+00f2 U+0073
aˀ	12	a ʔ	U+0061 U+02c0
ŋs	12	ŋ s	U+014b U+0073
ʒ	11	ʒ	U+0292
ě	11	ě/e	U+011b
ö	11	o
r̃s	11	r̃ s	U+0072 U+0303 U+0073
ɩw	11	i w	U+0269 U+0077
ŋŋ	11	ŋː	U+014b U+014b
œ́	11	œ́/œ	U+0153 U+0301
gh	10	gʰ	U+0067 U+0068
ùː	10	ùː/uː	U+00f9 U+02d0
óː	10	óː/oː	U+00f3 U+02d0
ɔ̄	10	ɔ̄/ɔ	U+0254 U+0304
m̦̀	10	m̦̀/m	U+006d U+0326 U+0300
āw	10	āw/aː w	U+0101 U+0077
cw	10	c w	U+0063 U+0077
ii	10	iː	U+0069 U+0069
ὲw	10	ὲw/ɛ w	U+1f72 U+0077
óh	9	óh/o h	U+00f3 U+0068
ɩ̌	9	ɩ̌/i	U+0269 U+030c
ã́	9	ã́/ã	U+00e3 U+0301
íː	9	íː/iː	U+00ed U+02d0
bb	9	bː	U+0062 U+0062
õ	9	õ	U+00f5
ѵ̀	8	ⱱ	U+0475 U+0300
kʷ	8	kʷ	U+006b U+02b7
ỳ	8	ỳ/y	U+1ef3
ƙw	8	ƙw/kʼʷ	U+0199 U+0077
ɗw	8	ɗw/ɗʷ	U+0257 U+0077
ɛ̄	8	ɛ̄/ɛː	U+025b U+0304
έː	8	ɛː	U+03ad U+02d0
ʌ	7	ʌ	U+028c
β	7	β	U+03b2
ā̂	7	ā̂/aː	U+0101 U+0302
ls	7	l s	U+006c U+0073
ǽ	7	æ	U+01fd
ý	7	ý/y	U+00fd
υw	7	υ w	U+03c5 U+0077
ὺw	7	υ w	U+1f7a U+0077
ə̃	7	ə̃	U+0259 U+0303
īs	7	iː s	U+012b U+0073
ɛ̂	7	ɛ̂/ɛ	U+025b U+0302
ẁ	7	w	U+1e81
nh	7	n h	U+006e U+0068
ɩ̀w	7	i w	U+0269 U+0300 U+0077
x̀	6	x	U+0078 U+0300
υs	6	υ s	U+03c5 U+0073
